Index,Image,wangtao,zzc,wangtao2,zzc2,MOS
0,game_0830.jpg,1.2,1.2,1.3,1.3,1.25
1,game_1109.jpg,3.5,3.2,3.3,2.1,3.02
2,movie_0298.jpg,2.2,0.9,2.1,1.5,1.68
3,movie_1625.jpg,2.8,2.6,3.0,2.3,2.68
4,movie_1682.jpg,3.8,2.2,3.7,2.3,3.0
5,movie_2412.jpg,2.8,3.1,3.3,2.8,3.0
6,game_0862.jpg,3.3,1.9,3.4,1.9,2.62
7,game_2862.jpg,0.5,0.4,0.4,0.8,0.52
8,game_1795.jpg,2.9,2.0,3.3,1.8,2.5
9,game_2897.jpg,3.6,3.3,3.0,2.2,3.03
10,movie_1435.jpg,3.7,3.9,3.4,3.4,3.6
11,game_0838.jpg,3.2,2.9,2.8,1.3,2.55
12,game_2193.jpg,2.2,1.8,1.7,1.2,1.72
13,movie_0018.jpg,1.9,2.7,2.1,2.0,2.17
14,movie_1824.jpg,3.2,3.5,3.6,3.4,3.42
15,game_0037.jpg,2.6,2.6,2.8,2.2,2.55
16,game_1164.jpg,0.4,1.1,1.0,0.8,0.82
17,movie_0457.jpg,2.8,2.4,1.9,1.8,2.22
18,movie_0576.jpg,2.6,3.2,2.9,3.1,2.95
19,movie_1462.jpg,3.1,3.6,1.7,1.8,2.55
20,game_1724.jpg,2.3,1.2,1.2,1.2,1.48
21,game_1009.jpg,3.6,2.7,4.0,2.6,3.22
22,game_1407.jpg,2.8,2.4,2.3,2.2,2.42
23,game_2142.jpg,2.3,1.9,1.8,1.3,1.82
24,movie_2715.jpg,3.7,4.1,4.0,3.7,3.88
25,game_1550.jpg,3.6,2.3,2.2,1.9,2.5
26,game_1323.jpg,2.1,3.2,2.0,2.0,2.33
27,game_1887.jpg,1.7,3.4,1.0,2.3,2.1
28,game_1599.jpg,4.1,3.6,2.9,2.3,3.22
29,movie_2906.jpg,2.7,1.8,2.1,1.4,2.0
30,game_1770.jpg,2.7,3.9,3.1,2.3,3.0
