Index,Image,Score
0,game_0830.jpg,1.2
1,game_1109.jpg,3.35
2,movie_0298.jpg,1.55
3,movie_1625.jpg,2.7
4,movie_1682.jpg,3.0
5,movie_2412.jpg,2.95
6,game_0862.jpg,2.6
7,game_2862.jpg,0.45
8,game_1795.jpg,2.45
9,game_2897.jpg,3.45
10,movie_1435.jpg,3.8
11,game_0838.jpg,3.05
12,game_2193.jpg,2.0
13,movie_0018.jpg,2.3
14,movie_1824.jpg,3.35
15,game_0037.jpg,2.6
16,game_1164.jpg,0.75
17,movie_0457.jpg,2.6
18,movie_0576.jpg,2.9
19,movie_1462.jpg,3.35
20,game_1724.jpg,1.75
21,game_1009.jpg,3.15
22,game_1407.jpg,2.6
23,game_2142.jpg,2.1
24,movie_2715.jpg,3.9
25,game_1550.jpg,2.95
26,game_1323.jpg,2.65
27,game_1887.jpg,2.55
28,game_1599.jpg,3.85
29,movie_2906.jpg,2.25
30,game_1770.jpg,3.3
31,movie_0023.jpg,2.85
32,game_1867.jpg,2.55
33,movie_1843.jpg,1.15
34,game_0600.jpg,1.75
35,game_2012.jpg,2.3
36,movie_0755.jpg,2.8
37,movie_0666.jpg,1.3
38,game_0122.jpg,1.75
39,movie_0497.jpg,2.05
40,game_0798.jpg,3.4
41,game_0437.jpg,0.95
42,game_2732.jpg,2.3
43,movie_1730.jpg,3.1
44,game_1253.jpg,2.75
45,game_0499.jpg,1.9
46,movie_0301.jpg,2.45
47,game_2733.jpg,4.25
48,movie_2928.jpg,4.3
49,movie_0812.jpg,3.9
50,movie_0341.jpg,2.35
51,game_1920.jpg,3.15
52,movie_0848.jpg,3.1
53,movie_2739.jpg,4.4
54,game_0947.jpg,2.5
55,game_2528.jpg,2.9
56,movie_1981.jpg,2.4
57,game_2335.jpg,2.05
58,movie_1711.jpg,3.05
59,game_1810.jpg,2.0
60,movie_0148.jpg,1.0
61,game_2538.jpg,1.0
62,movie_1830.jpg,0.75
63,game_1991.jpg,0.95
64,game_2649.jpg,2.75
65,movie_0869.jpg,2.75
66,movie_2057.jpg,2.45
67,game_0269.jpg,0.9
68,movie_1331.jpg,2.75
69,movie_2744.jpg,4.45
70,movie_2347.jpg,3.95
71,game_2047.jpg,2.5
72,game_2864.jpg,2.45
73,movie_1430.jpg,1.3
74,movie_0303.jpg,3.7
75,game_2441.jpg,1.55
76,movie_0266.jpg,2.5
77,movie_2029.jpg,3.35
78,movie_1896.jpg,2.8
79,movie_0269.jpg,2.2
80,game_1611.jpg,2.4
81,game_0152.jpg,1.4
82,game_0686.jpg,1.1
83,movie_2191.jpg,2.65
84,game_1149.jpg,2.5
85,movie_0313.jpg,2.8
86,movie_0712.jpg,3.0
87,movie_2019.jpg,3.05
88,movie_2360.jpg,2.65
89,game_2008.jpg,3.3
90,game_1434.jpg,2.7
91,game_2902.jpg,2.7
92,game_2411.jpg,1.9
93,movie_2450.jpg,3.05
94,movie_2822.jpg,4.4
95,game_2620.jpg,3.25
96,game_2802.jpg,2.6
97,movie_0119.jpg,3.15
98,game_2389.jpg,1.8
99,game_0539.jpg,1.55
100,movie_2330.jpg,1.3
101,movie_0930.jpg,4.3
102,movie_0178.jpg,2.15
103,movie_0871.jpg,2.25
104,game_1860.jpg,1.85
105,game_1314.jpg,0.9
106,movie_2172.jpg,2.35
107,movie_2269.jpg,2.8
108,game_2150.jpg,2.9
109,game_1826.jpg,1.5
110,game_1223.jpg,2.4
111,game_2100.jpg,2.7
112,game_1776.jpg,2.55
113,movie_2362.jpg,2.05
114,movie_0248.jpg,2.25
115,game_1177.jpg,1.95
116,movie_2085.jpg,2.55
117,movie_2895.jpg,2.35
118,movie_1282.jpg,2.5
119,game_1732.jpg,1.85
120,game_0866.jpg,1.8
121,movie_1796.jpg,3.1
122,movie_2578.jpg,2.95
123,movie_0012.jpg,2.55
124,game_1043.jpg,1.65
125,game_0804.jpg,1.55
126,game_1383.jpg,2.75
127,game_0760.jpg,1.0
128,movie_2144.jpg,1.45
129,game_1771.jpg,1.7
130,movie_0245.jpg,2.75
131,game_0936.jpg,2.55
132,game_0704.jpg,2.55
133,movie_2716.jpg,2.75
134,game_2318.jpg,0.6
135,game_1935.jpg,3.25
136,movie_0776.jpg,2.65
137,movie_2074.jpg,2.45
138,movie_1546.jpg,3.35
139,game_2274.jpg,2.25
140,movie_1168.jpg,2.75
141,game_1446.jpg,1.05
142,game_1800.jpg,2.95
143,movie_1312.jpg,2.85
144,game_1908.jpg,1.4
145,game_0258.jpg,3.0
146,game_1534.jpg,0.5
147,game_1504.jpg,0.55
148,movie_2937.jpg,3.15
149,movie_0561.jpg,1.15
150,game_1367.jpg,2.3
151,game_1076.jpg,2.8
152,movie_2865.jpg,4.0
153,game_2974.jpg,2.7
154,game_2136.jpg,1.8
155,movie_0815.jpg,3.2
156,movie_2737.jpg,3.7
157,game_1224.jpg,2.3
158,game_2342.jpg,2.75
159,movie_2752.jpg,3.25
160,game_2654.jpg,2.6
161,game_1155.jpg,2.55
162,game_2238.jpg,2.65
163,movie_0796.jpg,2.05
164,movie_0953.jpg,2.8
165,movie_1293.jpg,3.05
166,game_2455.jpg,3.05
167,game_1967.jpg,2.75
168,movie_0105.jpg,2.8
169,game_2282.jpg,1.8
170,movie_2468.jpg,4.1
171,game_2882.jpg,1.1
172,movie_2365.jpg,3.05
173,game_2172.jpg,1.4
174,game_0199.jpg,1.65
175,movie_0507.jpg,3.35
176,movie_1142.jpg,2.5
177,movie_2148.jpg,3.0
178,movie_1704.jpg,1.3
179,movie_0414.jpg,2.0
180,movie_0249.jpg,2.45
181,movie_0993.jpg,2.7
182,game_2801.jpg,1.9
183,game_0260.jpg,1.4
184,game_2040.jpg,1.95
185,movie_0883.jpg,1.9
186,game_0736.jpg,1.4
187,game_2952.jpg,2.5
188,game_0054.jpg,0.3
189,movie_2596.jpg,3.25
190,game_0379.jpg,2.45
191,game_0635.jpg,1.6
192,game_1739.jpg,1.55
193,movie_2823.jpg,2.3
194,game_0019.jpg,1.7
195,game_0938.jpg,1.8
196,movie_2681.jpg,2.35
197,movie_0941.jpg,1.55
198,game_0780.jpg,1.8
199,game_0491.jpg,1.15
200,game_1894.jpg,1.7
201,game_0181.jpg,0.85
202,game_2490.jpg,2.85
203,movie_0973.jpg,1.8
204,movie_0159.jpg,1.9
205,game_2196.jpg,1.05
206,game_0770.jpg,1.1
207,game_1857.jpg,1.05
208,game_0005.jpg,0.85
209,game_0941.jpg,3.0
210,game_2190.jpg,2.35
211,movie_2846.jpg,2.3
212,movie_0585.jpg,1.75
213,game_2219.jpg,1.85
214,movie_0180.jpg,1.55
215,movie_2569.jpg,3.5
216,movie_1068.jpg,1.7
217,game_0424.jpg,1.25
218,game_0863.jpg,2.25
219,game_2516.jpg,1.55
220,game_0937.jpg,1.95
221,game_2800.jpg,2.4
222,game_1928.jpg,2.9
223,game_0609.jpg,2.4
224,movie_1805.jpg,2.95
225,game_0604.jpg,1.85
226,game_1389.jpg,2.95
227,game_1458.jpg,0.85
228,movie_2398.jpg,2.6
229,movie_2645.jpg,4.05
230,game_0611.jpg,3.35
231,movie_2519.jpg,2.75
232,movie_1088.jpg,2.95
233,movie_1054.jpg,2.65
234,movie_1386.jpg,2.15
235,game_0014.jpg,2.35
236,movie_1000.jpg,0.85
237,game_0401.jpg,0.4
238,game_0291.jpg,1.9
239,movie_0513.jpg,3.15
240,movie_1355.jpg,1.3
241,movie_1940.jpg,2.65
242,movie_2950.jpg,2.85
243,movie_1828.jpg,3.15
244,movie_1002.jpg,2.5
245,game_2783.jpg,3.6
246,movie_2694.jpg,3.45
247,movie_2251.jpg,2.75
248,game_1221.jpg,1.75
249,game_1239.jpg,1.95
250,game_0892.jpg,2.6
251,movie_1764.jpg,2.0
252,movie_2395.jpg,2.95
253,game_2615.jpg,1.6
254,game_2067.jpg,2.3
255,movie_0213.jpg,2.1
256,game_2685.jpg,1.95
257,movie_0345.jpg,3.2
258,game_1365.jpg,0.7
259,game_0355.jpg,0.35
260,movie_1433.jpg,2.05
261,game_2679.jpg,0.85
262,game_2058.jpg,1.5
263,movie_2643.jpg,3.75
264,game_1700.jpg,2.35
265,game_0042.jpg,2.6
266,game_1784.jpg,2.65
267,game_0399.jpg,1.95
268,game_0548.jpg,1.9
269,movie_0991.jpg,2.0
270,movie_2332.jpg,2.1
271,game_2130.jpg,1.8
272,game_0724.jpg,2.6
273,game_1837.jpg,2.15
274,game_0415.jpg,0.45
275,game_2809.jpg,0.75
276,movie_0346.jpg,3.0
277,game_2018.jpg,2.25
278,game_0161.jpg,0.55
279,movie_0763.jpg,2.65
280,movie_0633.jpg,1.55
281,movie_2298.jpg,3.6
282,game_0755.jpg,1.85
283,game_0813.jpg,1.75
284,movie_1464.jpg,1.95
285,game_0726.jpg,2.85
286,game_0026.jpg,2.7
287,movie_2208.jpg,2.0
288,movie_0286.jpg,1.75
289,movie_0363.jpg,1.85
290,movie_1014.jpg,2.9
291,movie_0192.jpg,2.25
292,game_1289.jpg,1.55
293,movie_0433.jpg,1.8
294,game_2329.jpg,1.2
295,game_1877.jpg,3.5
296,movie_0937.jpg,2.2
297,game_0944.jpg,2.1
298,movie_0071.jpg,3.05
299,movie_0775.jpg,2.05
300,movie_1671.jpg,2.7
301,game_1681.jpg,2.1
302,game_0872.jpg,0.8
303,movie_2955.jpg,4.1
304,game_1047.jpg,3.9
305,game_2669.jpg,3.5
306,game_1000.jpg,0.55
307,game_0049.jpg,1.35
308,movie_1578.jpg,1.9
309,movie_1876.jpg,2.1
310,game_2672.jpg,1.0
311,movie_1916.jpg,2.6
312,game_1955.jpg,2.1
313,movie_1585.jpg,3.0
314,game_1668.jpg,1.75
315,movie_0874.jpg,2.85
316,movie_0900.jpg,2.65
317,movie_1863.jpg,2.4
318,game_1334.jpg,2.15
319,game_1775.jpg,2.75
320,movie_0203.jpg,3.1
321,movie_0996.jpg,3.2
322,game_2192.jpg,2.95
323,game_0951.jpg,1.75
324,movie_2225.jpg,2.85
325,movie_0685.jpg,2.4
326,movie_0004.jpg,1.9
327,movie_1059.jpg,2.45
328,game_0149.jpg,1.85
329,game_0557.jpg,3.2
330,movie_1341.jpg,2.75
331,movie_2177.jpg,2.8
332,game_2485.jpg,1.45
333,movie_2997.jpg,4.05
334,movie_2307.jpg,2.95
335,game_2156.jpg,2.15
336,game_1499.jpg,2.1
337,movie_1753.jpg,2.8
338,movie_1222.jpg,2.9
339,movie_2325.jpg,2.7
340,movie_2111.jpg,2.55
341,game_0365.jpg,2.1
342,game_2743.jpg,3.7
343,movie_0285.jpg,2.85
344,game_0917.jpg,1.4
345,movie_1917.jpg,1.9
346,game_0933.jpg,2.35
347,game_2331.jpg,2.3
348,movie_2595.jpg,3.3
349,game_0584.jpg,2.9
350,movie_2113.jpg,2.45
351,movie_1234.jpg,3.1
352,game_1539.jpg,1.7
353,movie_1806.jpg,3.4
354,game_1185.jpg,2.35
355,movie_2082.jpg,3.55
356,game_1254.jpg,2.1
357,game_2662.jpg,1.75
358,game_0516.jpg,2.0
359,movie_1428.jpg,1.9
360,game_2427.jpg,2.15
361,game_1404.jpg,1.8
362,game_2861.jpg,0.95
363,movie_1688.jpg,2.0
364,movie_1857.jpg,2.2
365,movie_0618.jpg,2.45
366,movie_0710.jpg,2.85
367,movie_0462.jpg,2.75
368,game_0920.jpg,2.25
369,movie_1446.jpg,2.3
370,movie_0644.jpg,2.65
371,game_2719.jpg,2.75
372,game_1059.jpg,2.15
373,movie_2319.jpg,2.65
374,movie_0765.jpg,2.4
375,movie_1310.jpg,2.95
376,game_0685.jpg,2.5
377,movie_2243.jpg,3.4
378,movie_1710.jpg,2.9
379,game_2988.jpg,2.55
380,movie_1807.jpg,2.45
381,movie_1959.jpg,2.85
382,movie_0542.jpg,2.35
383,game_2728.jpg,4.35
384,game_2078.jpg,1.85
385,game_0463.jpg,2.0
386,movie_0099.jpg,2.05
387,game_0800.jpg,1.35
388,game_0606.jpg,3.05
389,game_1622.jpg,1.7
390,game_2643.jpg,2.9
391,movie_1363.jpg,2.5
392,movie_0127.jpg,2.9
393,game_0754.jpg,2.9
394,movie_1914.jpg,2.75
395,movie_1194.jpg,1.4
396,movie_2286.jpg,1.7
397,game_1238.jpg,1.9
398,game_2771.jpg,3.4
399,game_1275.jpg,2.05
400,game_1927.jpg,2.45
401,movie_2621.jpg,2.95
402,game_0756.jpg,2.6
403,game_0560.jpg,2.1
404,movie_0021.jpg,2.1
405,movie_1982.jpg,1.6
406,game_0335.jpg,2.95
407,movie_1779.jpg,1.9
408,game_0619.jpg,2.95
409,movie_0047.jpg,2.95
410,movie_2120.jpg,2.55
411,game_1320.jpg,2.2
412,game_0176.jpg,2.75
413,game_0593.jpg,2.8
414,game_0013.jpg,2.1
415,movie_1392.jpg,2.5
416,game_0288.jpg,1.4
417,game_2139.jpg,1.2
418,game_1882.jpg,1.95
419,movie_2817.jpg,4.25
420,movie_2802.jpg,4.25
421,movie_0702.jpg,3.35
422,game_2508.jpg,2.45
423,game_0955.jpg,2.7
424,movie_2791.jpg,4.45
425,game_1892.jpg,2.1
426,movie_0376.jpg,2.85
427,game_2422.jpg,2.35
428,movie_1183.jpg,2.8
429,movie_1808.jpg,2.5
430,movie_0229.jpg,2.65
431,game_2369.jpg,1.6
432,game_1817.jpg,1.95
433,game_2884.jpg,1.8
434,movie_1837.jpg,2.8
435,movie_0067.jpg,2.75
436,game_1645.jpg,1.75
437,game_2045.jpg,3.25
438,game_2283.jpg,2.95
439,movie_1238.jpg,3.2
440,game_0995.jpg,2.4
441,movie_0750.jpg,2.15
442,movie_0038.jpg,3.2
443,movie_0050.jpg,2.45
444,game_2303.jpg,3.05
445,movie_0087.jpg,2.95
446,game_0119.jpg,2.35
447,game_1655.jpg,0.7
448,game_1366.jpg,2.4
449,movie_1294.jpg,2.4
450,movie_2258.jpg,1.55
451,game_2539.jpg,2.0
452,movie_2232.jpg,1.7
453,movie_1961.jpg,2.55
454,movie_2272.jpg,3.85
455,movie_0782.jpg,3.15
456,movie_1498.jpg,1.5
457,game_2566.jpg,1.55
458,movie_0156.jpg,2.05
459,movie_0896.jpg,2.35
460,game_0474.jpg,2.9
461,game_1154.jpg,2.1
462,game_0572.jpg,2.25
463,movie_2296.jpg,3.95
464,game_1062.jpg,1.8
465,movie_0754.jpg,1.55
466,game_0323.jpg,3.3
467,game_2024.jpg,1.85
468,game_1337.jpg,1.3
469,game_0837.jpg,2.8
470,movie_0555.jpg,3.0
471,movie_0151.jpg,1.4
472,movie_1613.jpg,3.35
473,movie_0124.jpg,2.85
474,game_0747.jpg,1.75
475,game_2547.jpg,1.2
476,game_0315.jpg,2.7
477,game_2471.jpg,2.3
478,game_0143.jpg,2.8
479,game_2339.jpg,1.15
480,game_2614.jpg,1.75
481,game_1467.jpg,2.05
