index,Image,Score
4,movie_1682.jpg,3.8
6,game_0862.jpg,3.3
8,game_1795.jpg,2.9
21,game_1009.jpg,3.6
34,game_0600.jpg,2.2
36,movie_0755.jpg,3.3
40,game_0798.jpg,3.5
57,game_2335.jpg,2
66,movie_2057.jpg,3
72,game_2864.jpg,2.7
78,movie_1896.jpg,3.1
85,movie_0313.jpg,3.7
93,movie_2450.jpg,3.3
109,game_1826.jpg,1.3
111,game_2100.jpg,3.3
112,game_1776.jpg,2.2
121,movie_1796.jpg,3.1
131,game_0936.jpg,2.3
132,game_0704.jpg,2.8
138,movie_1546.jpg,3.3
140,movie_1168.jpg,3.2
143,movie_1312.jpg,3
145,game_0258.jpg,3.2
153,game_2974.jpg,3.1
162,game_2238.jpg,2.8
164,movie_0953.jpg,3.3
170,movie_2468.jpg,4.3
175,movie_0507.jpg,3.6
177,movie_2148.jpg,3.4
187,game_2952.jpg,2.8
190,game_0379.jpg,2.8
195,game_0938.jpg,2.2
199,game_0491.jpg,1
202,game_2490.jpg,2.9
209,game_0941.jpg,3.2
210,game_2190.jpg,1.9
215,movie_2569.jpg,4
221,game_2800.jpg,2.9
224,movie_1805.jpg,3.2
226,game_1389.jpg,2.9
232,movie_1088.jpg,3.2
235,game_0014.jpg,2.8
239,movie_0513.jpg,3.4
244,movie_1002.jpg,2.8
247,movie_2251.jpg,3.3
252,movie_2395.jpg,3.6
260,movie_1433.jpg,2.2
295,game_1877.jpg,3.8
297,game_0944.jpg,2.1
298,movie_0071.jpg,2.9
313,movie_1585.jpg,3.1
317,movie_1863.jpg,2.7
324,movie_2225.jpg,2.8
329,game_0557.jpg,3.2
338,movie_1222.jpg,3
353,movie_1806.jpg,3.3
366,movie_0710.jpg,3
367,movie_0462.jpg,2.8
369,movie_1446.jpg,2.4
382,movie_0542.jpg,2.7
394,movie_1914.jpg,3.2
409,movie_0047.jpg,3.8
410,movie_2120.jpg,3.2
425,game_1892.jpg,2.3
429,movie_1808.jpg,2.8
430,movie_0229.jpg,3.4
434,movie_1837.jpg,3.3
439,movie_1238.jpg,3.6
442,movie_0038.jpg,3.7
444,game_2303.jpg,2.7
454,movie_2272.jpg,3.8
455,movie_0782.jpg,4
463,movie_2296.jpg,4.2
466,game_0323.jpg,2.7
472,movie_1613.jpg,3.4
478,game_0143.jpg,2.8
483,game_0267.jpg,3
485,game_2734.jpg,2.3
487,movie_2387.jpg,4.2
500,game_1945.jpg,2.7
503,movie_2328.jpg,3
508,game_0206.jpg,2.3
513,game_0954.jpg,2.8
516,game_0520.jpg,2.1
519,game_0896.jpg,0.9
535,movie_2492.jpg,4
543,movie_1443.jpg,3.5
553,movie_1524.jpg,3.2
555,movie_1165.jpg,3.6
557,movie_1859.jpg,3.7
571,game_0831.jpg,2.8
575,movie_2528.jpg,3
579,game_0428.jpg,2.8
580,movie_2230.jpg,3.3
582,movie_2517.jpg,3.8
585,game_2353.jpg,2.2
586,movie_2316.jpg,4.4
590,game_0445.jpg,2
595,game_2246.jpg,2.7
606,movie_1098.jpg,3.2
607,movie_1871.jpg,2
613,movie_2003.jpg,2.9
615,game_2825.jpg,2.8
617,game_2972.jpg,1
629,game_0998.jpg,2.8
639,movie_0706.jpg,3.5
640,game_2350.jpg,2.9
643,movie_2020.jpg,2.6
